TimeStep,KilobotID,X,Y,Theta,Neighbors,CoMX,CoMY,EstimateHeading,EstimateError
1158,0,572,262,3.21,0,572,262,0,0
1161,0,571,262,3.21,0,571,262,0,0
1164,0,570,262,3.21,0,570,262,0,0
1167,0,569,262,3.21,0,569,262,0,0
1170,0,569,262,3.21,0,569,262,0,0
1173,0,568,262,3.21,0,568,262,0,0
1176,0,567,262,3.21,0,567,262,0,0
1179,0,566,262,3.21,0,566,262,0,0
1182,0,565,262,3.21,0,565,262,0,0
1185,0,565,262,3.21,0,565,262,0,0
1188,0,564,262,3.21,0,564,262,0,0
1191,0,563,262,3.21,0,563,262,0,0
1194,0,562,262,3.21,0,562,262,0,0
1197,0,561,262,3.21,0,561,262,0,0
1200,0,561,262,3.21,0,561,262,0,0
1203,0,560,262,3.21,0,560,262,0,0
1206,0,559,262,3.21,0,559,262,0,0
1209,0,558,262,3.21,0,558,262,0,0
1212,0,557,261,3.21,0,557,261,0,0
1215,0,557,261,3.21,0,557,261,0,0
1218,0,556,261,3.21,0,556,261,0,0
1221,0,555,261,3.21,0,555,261,0,0
1224,0,554,261,3.21,0,554,261,0,0
1227,0,553,261,3.21,0,553,261,0,0
1230,0,553,261,3.21,0,553,261,0,0
1233,0,552,261,3.21,0,552,261,0,0
1236,0,551,261,3.21,0,551,261,0,0
1239,0,550,261,3.21,0,550,261,0,0
1242,0,549,261,3.21,0,549,261,0,0
1245,0,549,261,3.21,0,549,261,0,0
1248,0,548,261,3.21,0,548,261,0,0
1251,0,547,261,3.21,0,547,261,0,0
1254,0,546,261,3.21,0,546,261,0,0
1257,0,545,261,3.21,0,545,261,0,0
1260,0,545,261,3.21,0,545,261,0,0
1263,0,544,261,3.21,0,544,261,0,0
1266,0,543,260,3.21,0,543,260,0,0
1269,0,542,260,3.21,0,542,260,0,0
1272,0,541,260,3.21,0,541,260,0,0
1275,0,541,260,3.21,0,541,260,0,0
1278,0,540,260,3.21,0,540,260,0,0
1281,0,539,260,3.21,0,539,260,0,0
1284,0,538,260,3.21,0,538,260,0,0
1287,0,537,260,3.21,0,537,260,0,0
1290,0,537,260,3.21,0,537,260,0,0
1293,0,536,260,3.21,0,536,260,0,0
1296,0,535,260,3.21,0,535,260,0,0
1299,0,534,260,3.21,0,534,260,0,0
1302,0,533,260,3.21,0,533,260,0,0
1305,0,533,260,3.21,0,533,260,0,0
1308,0,532,260,3.21,0,532,260,0,0
1311,0,531,260,3.21,0,531,260,0,0
1314,0,530,260,3.21,0,530,260,0,0
1317,0,529,260,3.21,0,529,260,0,0
1320,0,529,259,3.21,0,529,259,0,0
1323,0,528,259,1.5,0,528,259,0,0
1326,0,528,259,1.5,0,528,259,0,0
1329,0,528,259,1.5,0,528,259,0,0
1332,0,528,259,1.5,0,528,259,0,0
1335,0,528,259,1.5,0,528,259,0,0
1338,0,528,260,1.5,0,528,260,0,0
1341,0,528,261,1.5,0,528,261,0,0
1344,0,528,261,1.5,0,528,261,0,0
1347,0,528,262,1.5,0,528,262,0,0
1350,0,528,263,1.5,0,528,263,0,0
1353,0,528,264,1.5,0,528,264,0,0
1356,0,528,265,1.5,0,528,265,0,0
1359,0,529,265,1.5,0,529,265,0,0
1362,0,529,266,1.5,0,529,266,0,0
1365,0,529,267,1.5,0,529,267,0,0
1368,0,529,268,1.5,0,529,268,0,0
1371,0,529,269,1.5,0,529,269,0,0
1374,0,529,269,1.5,0,529,269,0,0
1377,0,529,270,1.5,0,529,270,0,0
1380,0,529,271,1.5,0,529,271,0,0
1383,0,529,272,1.5,0,529,272,0,0
1386,0,529,272,1.5,0,529,272,0,0
1389,0,529,273,1.5,0,529,273,0,0
1392,0,529,274,1.5,0,529,274,0,0
1395,0,529,275,1.5,0,529,275,0,0
1398,0,529,276,1.5,0,529,276,0,0
1401,0,529,276,1.5,0,529,276,0,0
1404,0,529,277,1.5,0,529,277,0,0
1407,0,529,278,1.5,0,529,278,0,0
1410,0,530,279,1.5,0,530,279,0,0
1413,0,530,280,1.5,0,530,280,0,0
1416,0,530,280,1.5,0,530,280,0,0
1419,0,530,281,1.5,0,530,281,0,0
1422,0,530,282,1.5,0,530,282,0,0
