ObjectID,Frame,X,Y
2,3309,"[731.0, 679.5]","[579.0, 327.5]"
2,3310,"[731.0, 679.5]","[579.0, 328.5]"
2,3311,"[731.0, 679.5]","[579.0, 327.5]"
2,3312,"[731.0, 679.5]","[580.0, 327.5]"
2,3313,"[730.0, 678.5]","[580.0, 328.5]"
2,3314,"[730.0, 678.5]","[580.0, 328.5]"
2,3315,"[730.0, 679.5]","[580.0, 328.5]"
2,3316,"[730.0, 679.5]","[581.0, 328.5]"
2,3317,"[730.0, 678.5]","[581.0, 328.5]"
2,3318,"[729.5, 678.5]","[581.0, 327.5]"
2,3319,"[729.5, 678.0]","[582.0, 328.0]"
2,3320,"[730.5, 677.5]","[582.0, 328.0]"
2,3321,"[730.5, 678.0]","[582.0, 328.0]"
2,3322,"[730.5, 678.0]","[582.0, 328.0]"
2,3323,"[729.5, 678.0]","[582.0, 328.0]"
